Cluster Number,icanumber,,Cluster Name 100
1,0,,DMN-MPF
2,1,,ATTENTION-DORSAL-IPS-MID
3,2,,DMN-SPL
4,3,,DMN-PCC
5,4,,VISUAL-CUNEUS
6,5,,EXECUTIVE-LEFT
7,6,,"DMN-PCC,DMN-RSC"
8,7,,"EXECUTIVE-POSTERIOR-RIGHT,EXECUTIVE-POSTERIOR-LEFT,DMN-RSC"
9,8,,NOISE
10,9,,AUDITORY
11,10,,"VISUAL-SUPERIOR-LATERAL,VISUAL-CUNEUS"
12,11,,MOTOR-VENTRAL
13,12,,DMN-MPF
14,13,,EXECUTIVE-RIGHT
15,14,,NOISE
16,15,,BASALGANGLIA-VENTRAL-NA
17,16,,ATTENTION-DORSAL-IPS-LATERAL
18,17,,MOTOR-DORSAL-LEG
19,18,,SALIENCE-INSULA
20,19,,TEMPORAL-SUPERIOR-BILATERAL
21,20,,CEREBELLAR-SUPERIOR-BILATERAL
22,21,,SALIENCE-ACC
23,22,,NOISE
24,23,,NOISE
25,24,,ATTENTION-VENTRAL-ANTERIOR
26,25,,ATTENTION-FEF
27,26,,VISUAL-FUSIFORM-POSTERIOR
28,27,,SENSORY-DORSAL-HAND
29,28,,"BASALGANGLIA-LENTIFORM,THALAMUS-MEDIAL"
30,29,,NOISE
31,30,,NOISE
32,31,,"DMN-IPL-BILATERAL,DMN-SUPERIOR-FRONTAL"
33,32,,CEREBELLAR-SUPERIOR-MEDIAL
34,33,,NOISE
35,34,,CEREBELLAR-LATERAL
36,35,,NOISE
37,36,,NOISE
38,37,,NOISE
39,38,,NOISE
40,39,,NOISE
