Cluster Number,icanumber,,Cluster Name 100
1,0,,DMN-MPF-VENTRAL
2,1,,DMN-MPF-MID
3,2,,DMN-PCC-MID
4,3,,NOISE
5,4,,AUDITORY
6,5,,ATTENTION-DORSAL-IPS-MEDIAL
7,6,,DMN-PCC-POSTERIOR
8,7,,SENSORY-DORSAL-MEDIAL
9,8,,ATTENTION-DORSAL-IPS-MID
10,9,,VISUAL-LINGUAL-ANTERIOR
11,10,,SALIENCE-INSULA-ANTERIOR
12,11,,VISUAL-CUNEUS-SUPERIOR-LATERAL-POSTERIOR
13,12,,EXECUTIVE-POSTERIOR-LEFT
14,13,,NOISE
15,14,,NOISE
16,15,,EXECUTIVE-POSTERIOR-RIGHT
17,16,,NOISE
18,17,,ATTENTION-FEF
19,18,,MOTOR-VENTRAL
20,19,,SENSORY-DORSAL-HAND-RIGHT
21,20,,ATTENTION-DORSAL-ANTERIOR
22,21,,MOTOR-DORSAL-LEG
23,22,,DMN-RSC
24,23,,NOISE
25,24,,ATTENTION-DORSAL-IPS-LATERAL-RIGHT
26,25,,NOISE
27,26,,BASALGANGLIA-LENTIFORM
28,27,,SENSORY
29,28,,NOISE
30,29,,EXECUTIVE-ANTERIOR-VENTRAL
31,30,,DMN-MPF-DORSAL
32,31,,CEREBELLAR-SUPERIOR-MEDIAL
33,32,,ATTENTION-DORSAL-IPL-LATERAL
34,33,,SENSORY-DORSAL-HAND-LEFT
35,34,,TEMPORAL-SUPERIOR-LEFT
36,35,,"VISUAL-FUSIFORM-POSTERIOR,VISUAL-LATERAL-INFERIOR"
37,36,,NOISE
38,37,,NOISE
39,38,,NOISE
40,39,,"HYPOTHALAMUS,BASALGANGLIA,THALAMUS"
41,40,,MOTOR-DORSAL-LEG
42,41,,THALAMUS-MEDIAL
43,42,,DMN-PARAHIPPOCAMPAL
44,43,,CEREBELLAR-SUPERIOR-MID-POSTERIOR
45,44,,BASALGANGLIA-CAUDATE
46,45,,UNKNOWN
47,46,,NOISE
48,47,,MOTOR-DORSAL-HAND
49,48,,NOISE
50,49,,EXECUTIVE-ANTERIOR
51,50,,NOISE
52,51,,COGNITIVE-ANTERIOR
53,52,,SALIENCE-ACC-ANTERIOR
54,53,,"CEREBELLAR-LATERAL,NOISE"
55,54,,TEMPORAL-INFERIOR-LEFT
56,55,,NOISE
57,56,,NOISE
58,57,,NOISE
59,58,,NOISE
60,59,,NOISE
